,weights,c,m,sigma,logL,logL_birth,nlive,pid,start_pid,end_pid
60,0.0,6.2311094960825475,8.503633345029247,0.1348698014873828,-1664.531561054201,-inf,4940,469,4566,5060
61,0.0,-0.9241766119493677,-8.265840198781662,0.14344098468226596,-1601.4867410845268,-inf,4939,4560,2733,5061
62,0.0,-8.730149910189212,-3.7067982533846866,0.3393792049538935,-1592.6538931768737,-inf,4938,1416,4448,5062
63,0.0,-0.6116512657573292,7.270365801375864,0.045772472325269487,-1562.8604074681573,-inf,4937,1259,4226,5063
64,0.0,-8.813896017512768,-7.535477836032767,0.4289848246336936,-1554.8920296526444,-inf,4936,4982,2725,5064
65,0.0,-6.569615647175322,-2.938791801854981,0.21778908896473048,-1542.649834505135,-inf,4935,4410,1313,5065
66,0.0,9.797788160074482,-9.627278247029505,0.4273331496947441,-1541.9346741186291,-inf,4934,4304,1756,5066
67,0.0,1.1566205248336026,8.309852538535756,0.054126679566939284,-1538.7522330200163,-inf,4933,589,3457,5067
68,0.0,-8.004714034327161,2.7552601352368944,0.27056101813181854,-1511.92487744009,-inf,4932,2239,3852,5068
69,0.0,-8.942798672737457,8.354833701848378,0.39000264348101776,-1492.9982051966126,-inf,4931,3801,4072,5069
70,0.0,7.599705217938264,-8.189922521256271,0.28633879530453266,-1485.723505006047,-inf,4930,1041,460,5070
71,0.0,-7.115108734015578,-3.499708950644176,0.26427215212437183,-1479.1113403779793,-inf,4929,2984,803,5071
72,0.0,9.783553121342056,9.320443038371655,0.34227398328308345,-1453.772443381759,-inf,4928,4345,2189,5072
73,0.0,-8.758630942486585,-2.3667202834617296,0.3576963532998678,-1443.8215712893964,-inf,4927,427,1073,5073
74,0.0,-3.5895288612568033,7.056241151842015,0.11097203490500807,-1440.3678184034818,-inf,4926,1046,45,5074
75,0.0,-5.801000799013836,8.398390892004318,0.22171348973244687,-1436.610901672391,-inf,4925,3279,256,5075
76,0.0,6.781830297137277,5.278468460460557,0.13302971842213518,-1422.8139107891625,-inf,4924,4244,139,5076
77,0.0,-7.351002454185078,7.46170761320291,0.2974753751867776,-1390.967284357851,-inf,4923,1807,2245,5077
78,0.0,-9.04398377425843,-2.572037971212575,0.40318993852445084,-1361.2374721846593,-inf,4922,830,4091,5078
79,0.0,9.038996053127102,-8.105053256901883,0.3883061667593357,-1359.630698640962,-inf,4921,4386,3231,5079
80,0.0,-9.165851241892188,-3.286069003105756,0.4269461874730718,-1347.899475102342,-inf,4920,3486,2977,5080
81,0.0,-2.3785557315656147,-8.467036689001333,0.20820183909608936,-1331.819107684927,-inf,4919,1010,176,5081
82,0.0,-8.815135210937406,8.358628372822029,0.4360975900128716,-1307.4850261893926,-inf,4918,4231,2085,5082
83,0.0,3.5511857633653188,-8.575494008525864,0.19883429615735526,-1289.3689537507448,-inf,4917,920,4836,5083
84,0.0,-9.547767352590402,8.255104388868041,0.5098094319244884,-1261.198725774831,-inf,4916,2704,1082,5084
85,0.0,-7.106221502498182,9.646021099650323,0.3605899498000653,-1257.0133947404572,-inf,4915,2635,3246,5085
86,0.0,6.05243057174869,-8.33693244098233,0.2729830451938131,-1251.0234212617283,-inf,4914,1493,3832,5086
87,0.0,7.071778539216007,7.775599610447883,0.20406523138482457,-1243.523544894222,-inf,4913,4464,177,5087
88,0.0,-5.914326379735928,0.5491284159007348,0.20464054854713476,-1193.3566216478912,-inf,4912,570,3379,5088
89,0.0,-7.902565021079395,9.83397780930661,0.4426274759655757,-1192.6538670257582,-inf,4911,2446,891,5089
90,0.0,-9.521461219088057,-6.05852405397437,0.588671580831337,-1169.431596641973,-inf,4910,2013,104,5090
91,0.0,5.880775636167543,-6.668372475869986,0.23124658922126562,-1162.049334729197,-inf,4909,741,1933,5091
92,0.0,4.472334270072711,3.289501150224412,0.05467911103866463,-1158.9288306104233,-inf,4908,1407,238,5092
93,0.0,-9.462472464809789,-9.51868430541536,0.7227719982995584,-1135.2844003388711,-inf,4907,3333,1697,5093
94,0.0,-8.570389236673268,-6.2622305265235,0.5280554538445847,-1133.841679724402,-inf,4906,4027,4264,5094
95,0.0,5.499547072109854,3.299172383469804,0.09240503112007747,-1128.1468816722427,-inf,4905,3599,3899,5095
